Form_Number,Age,Gender,No.of dependents,Occupation,City,"Education(1-ungraduate, 2-graduate,3-postgraduate)",Personal Income(in $),Personal Income,Family Income(in $),Family Income,Amount invested In last 6 months,Amount invested till date(in $),Amount invested till date,Earnings till date(NFT),Retained,last_transaction
24,29,Female,0,self_employed,1020,2,4792.6,359445,5569.58,1113916,11792.85,786.19,11792.85,57567.00,1,NaT
25,41,Female,0,self_employed,905,2,8358.47,626885.25,7819.06,1563812,5.85,0.39,5.85,6856.00,0,18-12-2019
26,34,Male,0,self_employed,931,2,2497.52,187314,1657.7,331540,26795.55,1786.37,26795.55,6756.00,0,27-12-2019
27,48,Male,2,salaried,218,2,2596.21,194715.75,4867.68,973536,91036.5,6069.1,91036.5,777.00,1,14-11-2019
28,76,Male,,self_employed,1533,3,14289.26,1071694.5,14289.26,2857852,9.6,0.64,9.6,532.00,0,NaT
29,36,Male,2,self_employed,1563,1,20273.43,1520507.25,26221.15,5244230,23357.55,1557.17,23357.55,1234.00,0,11-12-2019
30,56,Male,0,self_employed,836,3,7111.29,533346.75,7040.32,1408064,6,0.4,6,345435.00,0,22-12-2019
31,55,Male,0,self_employed,118,1,6424.46,481834.5,7003.05,1400610,217727.85,14515.19,217727.85,8.00,0,22-12-2019
32,33,Female,0,salaried,834,2,6152.67,461450.25,6163.13,1232626,1.65,0.11,1.65,566.00,0,NaT
33,66,Male,0,retired,1096,1,972.57,72942.75,18028.94,3605788,1166.55,77.77,1166.55,45.00,1,04-12-2019
34,64,Female,0,retired,1020,1,10701.32,802599,6119.39,1223878,12859.5,857.3,12859.5,40137.60,0,25-11-2019
35,54,Male,0,self_employed,1366,2,3294.42,247081.5,3294.42,658884,5.4,0.36,5.4,49105.20,0,NaT
36,90,,0,self_employed,834,3,1210.46,90784.5,4672.78,934556,217.35,14.49,217.35,90006.60,0,15-10-2019
37,9,Male,0,student,623,2,4065.35,304901.25,4065.35,813070,5.1,0.34,5.1,60594.00,0,NaT
38,52,Male,7,self_employed,549,2,7613.61,571020.75,3587.43,717486,250503.75,16700.25,250503.75,50967.90,0,28-08-2019
39,51,Male,0,self_employed,630,2,226.9,17017.5,2152.77,430554,68793.45,4586.23,68793.45,7788.15,0,26-12-2019
40,54,Male,3,self_employed,1271,2,1436.71,107753.25,1436.64,287328,6.6,0.44,6.6,21051.90,0,15-10-2019
41,47,Male,0,self_employed,834,2,5575.95,418196.25,5287.41,1057482,9.9,0.66,9.9,81064.80,0,21-12-2019
42,34,Male,0,salaried,485,3,3295.17,247137.75,3518.82,703764,6.45,0.43,6.45,58599.00,0,25-09-2019
43,69,Male,0,retired,146,2,13148.58,986143.5,12754.06,2550812,9.15,0.61,9.15,178634.55,0,28-12-2019
44,90,,,self_employed,,3,7870.87,590315.25,7265.1,1453020,3.45,0.23,3.45,64874.55,0,31-10-2019
45,44,Female,0,self_employed,146,2,2021.8,151635,9044.84,1808968,244818.6,16321.24,244818.6,199009.80,1,05-12-2019
46,55,Female,0,self_employed,146,1,2899.7,217477.5,3568.09,713618,34932.6,2328.84,34932.6,58407.15,0,22-09-2019
47,17,Female,0,student,630,2,849.37,63702.75,1496.26,299252,32143.05,2142.87,32143.05,30254.10,0,14-11-2019
48,48,Male,2,self_employed,579,2,6792.03,509402.25,3944.52,788904,154552.35,10303.49,154552.35,11687.85,0,24-12-2019
49,41,Male,0,self_employed,52,2,1540.21,115515.75,1577.99,315598,107145.15,7143.01,107145.15,26939.70,0,20-12-2019
50,4,Male,0,student,318,3,5717.13,428784.75,5734.71,1146942,1.5,0.1,1.5,80534.55,0,24-07-2019
51,52,Male,3,self_employed,1002,2,3854.44,289083,7996.88,1599376,158283,10552.2,158283,267415.20,1,17-12-2019
52,30,Female,0,self_employed,409,2,3585.62,268921.5,14497.05,2899410,26152.95,1743.53,26152.95,243785.25,1,24-12-2019
54,45,Female,0,self_employed,1096,2,9885.21,741390.75,9885.21,1977042,2.55,0.17,2.55,147320.70,0,NaT
55,43,Male,0,salaried,480,3,4474.38,335578.5,7897.49,1579498,40722,2714.8,40722,121445.25,0,27-09-2019
56,65,Male,0,self_employed,1494,2,1443.95,108296.25,1499.63,299926,4416.6,294.44,4416.6,19855.35,0,14-12-2019
57,34,Male,0,self_employed,146,3,21252.86,1593964.5,21926.19,4385238,28685.25,1912.35,28685.25,282923.40,0,28-12-2019
58,51,Female,0,self_employed,1020,2,894.72,67104,2002.71,400542,50019,3334.6,50019,15444.45,0,11-12-2019
59,72,Female,0,self_employed,485,3,1499.55,112466.25,1499.55,299910,4.65,0.31,4.65,22350.90,0,NaT
60,44,Male,0,self_employed,759,3,91.47,6860.25,2839.76,567952,224045.55,14936.37,224045.55,3310.20,1,31-12-2019
61,19,Female,,student,834,2,2788.4,209130,2121.84,424368,238.5,15.9,238.5,53517.75,0,26-12-2019
62,43,Female,0,self_employed,491,3,3365.16,252387,1672.36,334472,10.5,0.7,10.5,16670.10,0,24-12-2019
63,49,Male,1,self_employed,814,2,3373.21,252990.75,5647.25,1129450,64293.9,4286.26,64293.9,126133.80,0,06-09-2019
64,68,Female,0,self_employed,1111,2,4091.66,306874.5,3817.38,763476,2145.9,143.06,2145.9,55315.20,0,16-10-2019
65,45,Male,0,salaried,1322,2,12039.77,902982.75,11506.59,2301318,0.9,0.06,0.9,126627.00,0,20-12-2019
66,45,Female,0,self_employed,15,2,6036.9,452767.5,4925.66,985132,8581.5,572.1,8581.5,39070.65,0,13-12-2019
67,13,Male,,student,1589,3,6926.41,519480.75,4217.47,843494,21436.5,1429.1,21436.5,38213.40,0,28-12-2019
68,67,Male,2,self_employed,1111,2,1578.21,118365.75,4654.6,930920,39606.3,2640.42,39606.3,86882.55,0,03-12-2019
69,76,Female,0,self_employed,1020,2,1050.3,78772.5,2147.51,429502,107146.65,7143.11,107146.65,38813.70,0,11-12-2019
70,60,Male,2,self_employed,1178,2,5065.29,379896.75,5517.33,1103466,979.65,65.31,979.65,97616.85,0,06-12-2019
71,79,Female,0,self_employed,1020,2,15942.78,1195708.5,16215.43,3243086,18673.65,1244.91,18673.65,0.00,0,06-12-2019
72,21,Male,0,student,745,1,7151.46,536359.5,7132.17,1426434,6,0.4,6,4.00,0,11-07-2019
73,57,Male,2,self_employed,491,2,27970.63,2097797.25,29183.26,5836652,143011.5,9534.1,143011.5,74.00,0,26-12-2019
74,27,Male,1,self_employed,1525,2,431.67,32375.25,2623.92,524784,110086.05,7339.07,110086.05,564346.00,1,15-11-2019
75,71,Male,,retired,1404,1,4330.29,324771.75,4213.59,842718,2.4,0.16,2.4,6256.00,0,26-12-2019
76,47,Male,2,self_employed,1494,1,11902.1,892657.5,22557.45,4511490,893144.1,59542.94,893144.1,45.00,0,24-12-2019
77,61,Male,0,salaried,318,3,2662.21,199665.75,2500.33,500066,9,0.6,9,454.00,0,06-12-2019
78,70,Male,0,salaried,1020,1,54686.7,4101502.5,20354.78,4070956,1095.15,73.01,1095.15,0.00,0,31-12-2019
79,26,Female,,self_employed,698,3,2585.29,193896.75,2145.23,429046,2.1,0.14,2.1,22.00,0,12-12-2019
80,41,Male,0,self_employed,409,3,6209.34,465700.5,2028.69,405738,28889.4,1925.96,28889.4,65.00,0,19-12-2019
81,32,Male,0,salaried,575,1,39462.27,2959670.25,39371.37,7874274,29595.9,1973.06,29595.9,26.00,0,25-12-2019
82,55,Male,2,salaried,146,2,4587.28,344046,3776.63,755326,112900.35,7526.69,112900.35,463.00,0,26-12-2019
83,58,Male,2,salaried,17,2,2335.05,175128.75,2212.69,442538,2616,174.4,2616,0.00,0,13-12-2019
84,40,Female,0,self_employed,745,3,9931.34,744850.5,10165.31,2033062,6,0.4,6,7887.00,0,15-08-2019
85,65,Male,0,,619,3,3379.75,253481.25,5382.72,1076544,159579.9,10638.66,159579.9,0.00,0,18-12-2019
86,63,Female,0,self_employed,630,2,11636.85,872763.75,9482.92,1896584,34369.95,2291.33,34369.95,456.00,0,11-12-2019
87,26,Male,0,self_employed,1154,3,483.52,36264,2032.88,406576,861.6,57.44,861.6,5633.00,1,27-08-2019
88,58,Male,0,self_employed,1096,1,10088.96,756672,7011.82,1402364,9.45,0.63,9.45,0.00,0,25-12-2019
89,33,Male,0,self_employed,1477,2,3537.16,265287,3658.26,731652,73079.55,4871.97,73079.55,566.00,0,11-12-2019
90,53,Male,0,salaried,775,3,12913.08,968481,11588.33,2317666,2.4,0.16,2.4,0.00,0,12-11-2019
91,19,Female,0,self_employed,1096,1,3144.56,235842,2800.31,560062,0.15,0.01,0.15,66.00,0,23-10-2019
92,35,Male,,salaried,575,3,2870.63,215297.25,2205.3,441060,4.35,0.29,4.35,15459.00,0,NaT
93,41,Male,0,self_employed,1,2,3185.72,238929,3185.72,637144,10.05,0.67,10.05,13173.00,0,15-05-2019
94,36,Male,1,self_employed,1020,1,6785.6,508920,10586.02,2117204,17822.1,1188.14,17822.1,30128.00,0,16-11-2019
95,30,Male,0,salaried,58,2,3122.27,234170.25,3380.35,676070,7.05,0.47,7.05,16023.00,0,17-10-2019
96,29,Female,0,salaried,409,2,9013.52,676014,7659.27,1531854,733.35,48.89,733.35,16097.00,0,26-05-2019
97,74,Male,0,retired,146,2,2227.37,167052.75,1869.48,373896,4.05,0.27,4.05,10227.00,0,22-10-2019
98,67,Female,0,salaried,1574,2,20741.22,1555591.5,20449.11,4089822,30000.45,2000.03,30000.45,26928.00,0,25-12-2019
99,26,Male,0,self_employed,318,3,1454.24,109068,1440.99,288198,6160.05,410.67,6160.05,11261.00,1,01-12-2019
100,32,Female,0,self_employed,1477,3,2429.18,182188.5,3826.64,765328,1716.45,114.43,1716.45,14367.00,1,04-07-2019
101,71,Male,0,retired,800,3,2460.94,184570.5,2460.94,492188,4.35,0.29,4.35,12445.00,0,NaT
102,56,Female,0,self_employed,1534,2,22437.57,1682817.75,14741.84,2948368,6097.65,406.51,6097.65,17979.00,0,22-11-2019
103,43,Male,3,self_employed,834,2,10152.97,761472.75,3216.92,643384,243916.5,16261.1,243916.5,13064.00,0,31-12-2019
104,90,Female,0,self_employed,1271,2,8215.16,616137,8237.17,1647434,3.45,0.23,3.45,18191.00,0,NaT
105,48,Male,0,self_employed,1525,2,2617.87,196340.25,3395.36,679072,16513.95,1100.93,16513.95,14775.00,0,31-12-2019
107,72,Female,0,self_employed,1096,3,503.68,37776,2904.33,580866,31074.9,2071.66,31074.9,11871.00,1,03-12-2019
108,75,Male,0,self_employed,1180,2,1555.37,116652.75,6392.32,1278464,48373.35,3224.89,48373.35,20990.00,1,09-11-2019
109,70,Male,3,self_employed,1020,2,8191.35,614351.25,3410.48,682096,10246.95,683.13,10246.95,12956.00,0,03-12-2019
110,43,Male,1,self_employed,1187,3,2859.86,214489.5,1545.74,309148,4.95,0.33,4.95,10063.00,0,31-12-2019
111,39,Female,,self_employed,465,3,8125.81,609435.75,8863.14,1772628,0.15,0.01,0.15,26569.00,0,16-04-2019
112,34,Male,0,self_employed,1040,3,2597.77,194832.75,2597.77,519554,2.55,0.17,2.55,18813.00,0,26-06-2019
113,49,Female,0,self_employed,318,3,1694.84,127113,2234.07,446814,13344.15,889.61,13344.15,11474.00,1,27-09-2019
114,38,Male,,self_employed,1292,3,1792.97,134472.75,2405.06,481012,19358.85,1290.59,19358.85,13800.00,1,06-02-2019
115,43,Female,0,salaried,61,3,2488.77,186657.75,3060.89,612178,15342,1022.8,15342,10654.00,0,11-10-2019
116,36,Male,0,self_employed,1020,3,9572.43,717932.25,13374.35,2674870,66472.8,4431.52,66472.8,15755.00,0,14-12-2019
117,62,Female,0,self_employed,656,2,16969.05,1272678.75,19518.99,3903798,12436.95,829.13,12436.95,39688.00,0,28-12-2019
118,54,Male,0,salaried,1232,3,909.84,68238,2529.1,505820,35200.05,2346.67,35200.05,13697.00,0,04-12-2019
119,39,Male,0,self_employed,334,2,10864.4,814830,11340.54,2268108,0.15,0.01,0.15,21852.00,0,09-03-2019
120,10,Female,0,student,1185,3,107.99,8099.25,1845.1,369020,32151.45,2143.43,32151.45,10901.00,1,22-09-2019
121,67,Male,0,self_employed,107,2,1515.7,113677.5,1515.7,303140,2.4,0.16,2.4,11506.00,0,NaT
122,48,Male,1,salaried,1020,1,1905.79,142934.25,1764.06,352812,28581.75,1905.45,28581.75,19260.00,0,28-12-2019
123,56,Male,,self_employed,180,1,70.97,5322.75,4458.24,891648,671779.05,44785.27,671779.05,10780.00,1,31-12-2019
124,65,Male,2,retired,834,3,5945.69,445926.75,9894.37,1978874,108680.1,7245.34,108680.1,22100.00,0,27-12-2019
126,40,Male,2,student,65,2,1100.97,82572.75,6221.02,1244204,13670.85,911.39,13670.85,15432.00,1,29-10-2019
127,66,Male,1,retired,,1,20452.17,1533912.75,57415.13,11483026,326038.35,21735.89,326038.35,26769.00,1,31-12-2019
129,37,Female,0,self_employed,156,2,3097.47,232310.25,3042.97,608594,5.1,0.34,5.1,13381.00,1,10-07-2019
130,58,Female,1,self_employed,1020,2,2123.8,159285,1681.09,336218,33881.25,2258.75,33881.25,11345.00,0,31-12-2019
131,68,Male,0,retired,1180,3,2101.47,157610.25,1720.19,344038,4.05,0.27,4.05,10866.00,0,NaT
133,34,Female,0,self_employed,1096,3,5899.01,442425.75,5085.83,1017166,1.65,0.11,1.65,12729.00,0,12-11-2019
134,71,Male,0,retired,334,2,844.46,63334.5,3459.95,691990,17518.35,1167.89,17518.35,16150.00,1,26-09-2019
135,46,Male,2,salaried,1298,3,2409.49,180711.75,3444.59,688918,25087.05,1672.47,25087.05,14214.00,0,17-12-2019
136,43,Male,3,self_employed,1598,2,5182.72,388704,5085.21,1017042,6.15,0.41,6.15,15236.00,0,01-12-2019
137,66,Male,0,self_employed,1020,1,6685.16,501387,12790.33,2558066,209029.2,13935.28,209029.2,25463.00,0,24-12-2019
138,52,Male,0,self_employed,630,3,9474.09,710556.75,7161.79,1432358,2149.5,143.3,2149.5,20651.00,0,05-12-2019
139,43,Male,2,salaried,,3,1460.15,109511.25,1930.66,386132,58501.95,3900.13,58501.95,14037.00,0,29-11-2019
140,31,Female,1,self_employed,138,3,7020.3,526522.5,7020.3,1404060,2.4,0.16,2.4,16976.00,0,NaT
141,3,Female,,student,1232,2,1863.74,139780.5,1863.74,372748,9.6,0.64,9.6,11855.00,0,NaT
142,45,Male,0,self_employed,630,1,2189.03,164177.25,2095.61,419122,71467.05,4764.47,71467.05,14133.00,0,25-12-2019
143,41,Female,,self_employed,271,2,6212.04,465903,6108.5,1221700,73.65,4.91,73.65,15850.00,0,08-12-2019
144,35,Female,0,self_employed,572,3,1072.56,80442,1994.21,398842,21431.85,1428.79,21431.85,11781.00,0,20-09-2019
145,41,Male,2,self_employed,1020,3,5026.63,376997.25,3750.77,750154,24166.35,1611.09,24166.35,16400.00,0,28-12-2019
146,39,Male,0,self_employed,241,2,1570.66,117799.5,4509.4,901880,306.6,20.44,306.6,14438.00,0,03-12-2019
147,49,Female,0,self_employed,1096,2,5796.61,434745.75,9804.13,1960826,19288.35,1285.89,19288.35,14837.00,0,21-11-2019
148,30,Male,0,self_employed,142,2,1642.73,123204.75,1638.54,327708,8.1,0.54,8.1,12880.00,0,20-07-2019
149,30,Female,0,self_employed,409,2,2348.97,176172.75,3645.54,729108,49288.65,3285.91,49288.65,17707.00,0,12-09-2019
150,25,Male,2,self_employed,1154,3,314.23,23567.25,2205.76,441152,88144.95,5876.33,88144.95,12373.00,1,22-12-2019
151,42,Female,0,self_employed,479,3,279.79,20984.25,2054.35,410870,646.95,43.13,646.95,12971.00,1,21-12-2019
152,45,Male,0,self_employed,409,2,2357.64,176823,1537.19,307438,18027.9,1201.86,18027.9,13881.00,0,31-12-2019
153,74,Male,0,retired,1032,3,16917.74,1268830.5,16917.74,3383548,8.1,0.54,8.1,26806.00,0,NaT
154,28,Male,0,self_employed,32,3,4689.26,351694.5,4597.46,919492,1.35,0.09,1.35,14303.00,0,15-11-2019
155,28,Male,0,self_employed,146,2,3725.73,279429.75,2233.48,446696,46929.45,3128.63,46929.45,14641.00,0,17-12-2019
156,34,Male,0,self_employed,1416,2,7634.87,572615.25,7951.54,1590308,722.4,48.16,722.4,18311.00,0,14-05-2019
157,49,Female,0,self_employed,409,1,3158.08,236856,3924.89,784978,9.6,0.64,9.6,14328.00,1,04-12-2019
158,40,Female,0,salaried,243,2,2404.56,180342,3978.78,795756,214289.85,14285.99,214289.85,13041.00,0,28-12-2019
160,32,Male,0,salaried,485,3,2059.04,154428,2123.99,424798,3775.5,251.7,3775.5,11975.00,0,05-10-2019
161,39,Male,0,salaried,1477,2,5718.2,428865,6869.09,1373818,43046.55,2869.77,43046.55,15349.00,0,26-11-2019
162,44,Male,0,self_employed,1046,2,6888.19,516614.25,6995.72,1399144,10.35,0.69,10.35,17141.00,0,06-10-2019
163,52,Female,0,salaried,1020,2,8836.28,662721,3016.82,603364,2616.15,174.41,2616.15,13336.00,0,31-12-2019
165,36,Female,0,self_employed,1525,3,1471.2,110340,1664.98,332996,7.95,0.53,7.95,11513.00,0,13-11-2019
166,51,Female,0,salaried,751,2,3712.09,278406.75,3712.09,742418,5.4,0.36,5.4,15013.00,0,NaT
167,83,Female,0,retired,1020,1,0.51,38.25,2004.84,400968,7.65,0.51,7.65,20440.00,1,24-08-2019
168,23,Female,0,student,1096,3,10657.76,799332,10528.72,2105744,0.15,0.01,0.15,19696.00,0,31-10-2019
170,52,Male,0,salaried,1046,3,3278.11,245858.25,3498.9,699780,8.4,0.56,8.4,13934.00,0,09-06-2019
171,49,Female,,self_employed,1043,2,4003.75,300281.25,3348.25,669650,3.15,0.21,3.15,13312.00,0,28-12-2019
172,29,Female,,self_employed,146,2,23847.85,1788588.75,23527,4705400,0.15,0.01,0.15,31781.00,0,06-01-2019
173,46,Male,2,self_employed,409,3,1633.2,122490,1494.99,298998,18215.55,1214.37,18215.55,12125.00,0,28-12-2019
174,31,Female,0,self_employed,1494,3,11651.82,873886.5,11651.82,2330364,8.85,0.59,8.85,21580.00,1,18-04-2019
176,63,Male,3,self_employed,1020,3,14901.34,1117600.5,3517.11,703422,609.15,40.61,609.15,15806.00,0,10-12-2019
177,26,Male,0,salaried,146,1,2354.29,176571.75,3352.04,670408,4565.55,304.37,4565.55,14173.00,0,25-12-2019
178,43,Male,2,self_employed,1096,2,29599.74,2219980.5,6164.41,1232882,118523.1,7901.54,118523.1,11834.00,0,25-12-2019
179,35,Male,0,salaried,1020,1,1799.94,134995.5,1473.55,294710,85932.9,5728.86,85932.9,16306.00,0,21-08-2019
180,75,Male,0,retired,38,2,10309.02,773176.5,10309.02,2061804,8.4,0.56,8.4,20244.00,0,05-06-2019
181,39,Female,0,salaried,146,3,4970.13,372759.75,3957.34,791468,18116.85,1207.79,18116.85,14801.00,0,08-11-2019
182,31,Male,0,salaried,1096,2,5654.08,424056,5726.95,1145390,3.9,0.26,3.9,15899.00,0,NaT
183,64,Female,0,self_employed,1181,2,7154.35,536576.25,5842.56,1168512,14428.2,961.88,14428.2,13668.00,0,07-12-2019
185,29,Female,,self_employed,582,2,2842.3,213172.5,5406.63,1081326,59624.4,3974.96,59624.4,15530.00,1,20-09-2019
186,48,Female,0,self_employed,575,2,1404,105300,1667.1,333420,3547.5,236.5,3547.5,11422.00,0,07-12-2019
188,49,Male,0,self_employed,162,3,1898.54,142390.5,1763.19,352638,7.65,0.51,7.65,10806.00,0,15-10-2019
189,55,Female,,self_employed,575,2,43211.61,3240870.75,43211.61,8642322,7.05,0.47,7.05,50025.00,0,13-07-2019
191,37,Male,0,self_employed,223,2,1739.81,130485.75,1739.81,347962,1.5,0.1,1.5,11702.00,0,27-09-2019
192,44,Female,0,self_employed,965,3,2462.65,184698.75,1889.2,377840,9380.1,625.34,9380.1,11640.00,0,28-12-2019
193,36,Female,0,self_employed,1020,1,2630.36,197277,3716.69,743338,16588.65,1105.91,16588.65,13385.00,0,24-12-2019
194,28,Female,0,self_employed,318,2,10725.2,804390,20106.09,4021218,115786.35,7719.09,115786.35,28523.00,0,18-08-2019
195,49,Female,0,salaried,1388,3,665.33,49899.75,2125.49,425098,8212.65,547.51,8212.65,17864.00,0,13-12-2019
196,45,Male,2,self_employed,443,2,4617.63,346322.25,5029.12,1005824,128567.25,8571.15,128567.25,16187.00,0,30-11-2019
197,43,Female,,self_employed,491,2,4481.2,336090,4041.74,808348,0.6,0.04,0.6,13289.00,0,18-12-2019
198,30,Female,0,self_employed,1271,3,2683,201225,3117.21,623442,18877.95,1258.53,18877.95,13075.00,0,NaT
199,90,Male,0,self_employed,905,3,1841.96,138147,1841.96,368392,7.35,0.49,7.35,11830.00,0,NaT
200,36,Female,0,self_employed,1598,3,2947.01,221025.75,2761.75,552350,0.6,0.04,0.6,12198.00,0,06-12-2019
201,67,Male,0,self_employed,834,1,1433.48,107511,3257.2,651440,515796.45,34386.43,515796.45,10235.00,1,10-12-2019
202,65,Male,0,self_employed,1597,2,5823.36,436752,5823.36,1164672,1.65,0.11,1.65,13858.00,0,04-08-2019
203,90,,0,self_employed,575,3,4178.06,313354.5,3969.39,793878,3146.55,209.77,3146.55,13120.00,0,25-12-2019
204,90,Male,0,self_employed,15,1,138.71,10403.25,41525.56,8305112,1172152.05,78143.47,1172152.05,17394.00,1,22-12-2019
205,42,Male,0,salaried,575,2,2191.51,164363.25,2167.66,433532,2402.25,160.15,2402.25,13603.00,0,20-03-2019
206,38,Female,0,self_employed,1232,3,1756.94,131770.5,1451.46,290292,72431.85,4828.79,72431.85,11485.00,0,20-12-2019
207,75,Female,0,self_employed,834,2,1433.21,107490.75,8923.09,1784618,3.9,0.26,3.9,13563.00,1,10-12-2019
208,32,Male,0,salaried,1084,3,2076.81,155760.75,2509.94,501988,108025.95,7201.73,108025.95,12976.00,0,31-12-2019
209,61,Male,0,self_employed,413,3,3731.2,279840,3768.27,753654,8.85,0.59,8.85,12839.00,0,28-12-2019
210,55,Male,0,salaried,569,2,7110.16,533262,7008.65,1401730,41130.6,2742.04,41130.6,12727.00,0,31-12-2019
211,64,Male,0,retired,1589,3,2479.97,185997.75,2477.79,495558,1.05,0.07,1.05,11497.00,1,16-08-2019
212,52,Female,,self_employed,1492,3,1464.17,109812.75,2173.34,434668,3.9,0.26,3.9,13647.00,0,24-01-2019
213,41,Male,0,self_employed,1412,2,3975.23,298142.25,4473.45,894690,10694.55,712.97,10694.55,14054.00,0,12-11-2019
214,28,Female,0,salaried,1179,3,278.57,20892.75,2486.48,497296,46554.6,3103.64,46554.6,11131.00,1,16-07-2019
216,3,Female,,student,575,1,4163.26,312244.5,4163.26,832652,1.05,0.07,1.05,12962.00,0,14-06-2019
217,69,Female,0,self_employed,1020,2,13701.91,1027643.25,14208.42,2841684,4288.65,285.91,4288.65,24698.00,0,NaT
218,35,Female,1,self_employed,1020,3,1983.16,148737,2192.14,438428,18290.4,1219.36,18290.4,12575.00,0,08-12-2019
219,49,Female,1,self_employed,1135,1,16120.07,1209005.25,17768.49,3553698,26684.1,1778.94,26684.1,44063.00,0,14-09-2019
220,28,Male,0,salaried,1096,2,5243.46,393259.5,3492.42,698484,18434.85,1228.99,18434.85,17756.00,1,21-12-2019
221,55,Female,,salaried,1177,3,1738.95,130421.25,1738.95,347790,1.95,0.13,1.95,11824.00,0,NaT
222,42,Female,0,self_employed,334,2,6689.29,501696.75,7210.03,1442006,15002.85,1000.19,15002.85,19139.00,0,26-02-2019
223,45,Male,2,self_employed,180,2,5315.57,398667.75,2441.2,488240,6271.05,418.07,6271.05,13700.00,0,13-12-2019
225,45,Male,0,salaried,146,3,2764.84,207363,2408.47,481694,3.15,0.21,3.15,12089.00,0,23-11-2019
226,39,Male,0,self_employed,491,3,2205.39,165404.25,1978.55,395710,2730.6,182.04,2730.6,12246.00,0,18-12-2019
228,38,Female,0,self_employed,1449,3,1595.33,119649.75,1878.16,375632,3510.15,234.01,3510.15,16504.00,0,18-05-2019
230,69,Female,0,self_employed,833,3,7579.44,568458,12496.95,2499390,111437.4,7429.16,111437.4,27724.00,0,06-11-2019
231,30,Female,0,self_employed,61,2,3843.06,288229.5,3758.58,751716,7.05,0.47,7.05,13063.00,1,24-10-2019
232,59,Male,1,salaried,904,3,5532.14,414910.5,5532.14,1106428,6.45,0.43,6.45,15190.00,0,20-09-2019
233,21,Female,0,student,694,2,2818.51,211388.25,1740.18,348036,32144.55,2142.97,32144.55,10685.00,0,28-12-2019
234,28,Male,0,student,878,2,900.93,67569.75,3001.2,600240,11056.05,737.07,11056.05,13834.00,1,20-12-2019
235,60,Female,0,salaried,834,3,3486.24,261468,3882.94,776588,7396.65,493.11,7396.65,12708.00,0,13-09-2019
236,43,Male,3,salaried,491,1,1053.65,79023.75,10506.18,2101236,177976.5,11865.1,177976.5,51495.00,1,22-12-2019
237,42,Male,0,salaried,432,2,2399.45,179958.75,2426.21,485242,6.15,0.41,6.15,13253.00,0,NaT
